"","x"
"1","NDUFA7"
"2","EPHX1"
"3","OBSCN"
"4","ROR1"
"5","JAKMIP3"
"6","MAP3K8"
"7","LDHAL6A"
"8","SORL1"
"9","COL4A2"
"10","IRX6"
"11","MINK1"
"12","TBCD"
"13","PTPRM"
"14","HIF3A"
"15","SGPP2"
"16","TGM3"
"17","PCNT"
"18","PTPRG"
"19","DOK7"
"20","PDE6B"
"21","RGS12"
"22","DOCK2"
"23","PCDHB2"
"24","EPDR1"
"25","NOV"
"26","ALDH1B1"
"27","AHDC1"
"28","DAB1"
"29","MMS19"
"30","OPCML"
"31","CSRP2"
"32","GALNT9"
"33","N4BP2L1"
"34","RAB20"
"35","CES1"
"36","LMF1"
"37","SLC7A5"
"38","AZI1"
"39","ADAMTS10"
"40","MKNK2"
"41","RNU6-66P"
"42","THADA"
"43","CARD10"
"44","SEC22C"
"45","LMAN2"
"46","LOC728613"
"47","GNA12"
"48","SNTB1"
"49","LRRC10B"
"50","MIR4488"
"51","ARGFX"
"52","SS18L2"
"53","DRD5"
"54","PCDHB5"
"55","TFAP2B"
"56","NOM1"
"57","RHOBTB2"
"58","TRIM21"
"59","N4BP1"
"60","KRTAP2-4"
"61","TTC30A"
"62","PSORS1C3"
"63","None"
