"","x"
"1","NOS1AP"
"2","ST6GALNAC3"
"3","NKX2-3"
"4","HPCAL1"
"5","BTNL8"
"6","IQCE"
"7","MBD1"
"8","AJAP1"
"9","C1orf226"
"10","EPHX1"
"11","PDE4B"
"12","PEAR1"
"13","SHISA4"
"14","TP73"
"15","C10orf32-AS3MT"
"16","FAM160B1"
"17","LDB3"
"18","DIXDC1"
"19","LDLRAD3"
"20","MS4A15"
"21","AMDHD1"
"22","DNAH10"
"23","TMEM132C"
"24","ATP11A"
"25","CLYBL"
"26","GPC5"
"27","LMO7"
"28","RFC3"
"29","MIR548H4"
"30","NOX5"
"31","THSD4"
"32","CMIP"
"33","MAPK8IP3"
"34","NDRG4"
"35","RBFOX1"
"36","SNX29"
"37","TEPP"
"38","DNAH2"
"39","FN3K"
"40","HGS"
"41","C19orf68"
"42","KLC3"
"43","LRRC8E"
"44","PLK5"
"45","UBL5"
"46","ZNF536"
"47","DOK1"
"48","EFHD1"
"49","FAM228A"
"50","LOC654433"
"51","LOC728730"
"52","MIR548N"
"53","NRP2"
"54","TTN-AS1"
"55","WNT6"
"56","GNAS"
"57","PCK1"
"58","WBP2NL"
"59","ACVR2B"
"60","MOBP"
"61","TRIM71"
"62","TSC22D2"
"63","BMPR1B"
"64","LOC285419"
"65","SLC7A11-AS1"
"66","STOX2"
"67","CYFIP2"
"68","PCDHA1"
"69","PCDHA2"
"70","AIG1"
"71","ARID1B"
"72","SYCP2L"
"73","TMEM151B"
"74","CLEC2L"
"75","CUX1"
"76","EIF3B"
"77","ELFN1"
"78","HDAC9"
"79","ITGB8"
"80","EFR3A"
"81","RDH10"
"82","SLC39A14"
"83","UNC5D"
"84","STXBP1"
"85","UAP1L1"
"86","BLACAT1"
"87","CDK11B"
"88","ESPNP"
"89","MORN1"
"90","NHLH2"
"91","OR2B11"
"92","RIMS3"
"93","SLC35E2B"
"94","ANTXRLP1"
"95","DIP2C"
"96","GRID1"
"97","ST5"
"98","ANKS1B"
"99","GALNT9"
"100","NINJ2"
"101","SLC6A12"
"102","ENOX1"
"103","GJB2"
"104","ELMSAN1"
"105","SLC25A21"
"106","LOC283710"
"107","NR2F2-AS1"
"108","PLA2G4D"
"109","SNX20"
"110","ZCCHC14"
"111","ZFHX3"
"112","LOC728392"
"113","MYH13"
"114","STAT5B"
"115","C3"
"116","SGTA"
"117","ANKRD44"
"118","CYP26B1"
"119","LOXL3"
"120","NCKAP5"
"121","PAX8"
"122","APCDD1L"
"123","LSS"
"124","KIAA0930"
"125","LINC00229"
"126","ALS2CL"
"127","CNTN3"
"128","DCBLD2"
"129","FGF12"
"130","GOLIM4"
"131","MUC4"
"132","PLOD2"
"133","PLXND1"
"134","AFAP1"
"135","BOD1L1"
"136","CDKL2"
"137","CLNK"
"138","F11-AS1"
"139","KCNIP4"
"140","SH3RF1"
"141","SLC2A9"
"142","SLC7A11"
"143","RANBP3L"
"144","SLC9A3"
"145","ZNF608"
"146","BMP5"
"147","NEU1"
"148","NHSL1"
"149","RNF39"
"150","RPS6KA2"
"151","SYNE1"
"152","ZNRD1-AS1"
"153","ADAP1"
"154","C7orf50"
"155","IMMP2L"
"156","MAGI2"
"157","MLXIPL"
"158","PKD1L1"
"159","RAPGEF5"
"160","RNF216"
"161","CSMD3"
"162","LOC100128993"
"163","MTMR7"
"164","PEBP4"
"165","SPAG11B"
"166","FIBCD1"
"167","TBC1D2"
"168","FCRLA"
"169","AS3MT"
"170","AKIP1"
"171","OR5D16"
"172","CCNA1"
"173","EIF5"
"174","TMCO5A"
"175","ALDOA"
"176","IL21R"
"177","ZG16B"
"178","CA4"
"179","TBCD"
"180","ANKRD30B"
"181","ZNF532"
"182","LIN7B"
"183","AQP12A"
"184","ABCC13"
"185","PCDHA3"
"186","HLA-J"
"187","SLC22A7"
"188","TRIM15"
"189","CALD1"
"190","MYH16"
"191","SBDSP1"
"192","ASB17"
"193","LMOD1"
"194","MIR135B"
"195","CTBP2"
"196","TMEM26"
"197","CLEC7A"
"198","DBX2"
"199","EBPL"
"200","CFL2"
"201","NID2"
"202","CATSPER2"
"203","RGMA"
"204","SPG21"
"205","APOOP5"
"206","SOST"
"207","TMEM105"
"208","CCDC11"
"209","ZNF83"
"210","C2orf61"
"211","ACVR2B-AS1"
"212","PARL"
"213","PRSS50"
"214","CXCL14"
"215","LOC728613"
"216","CTGF"
"217","DKFZp451B082"
"218","LINC00472"
"219","C7orf25"
"220","CPVL"
"221","HOXA4"
"222","LOC650226"
"223","TYW1B"
"224","MAFA"
"225","PPP1R3B"
"226","GGTA1P"
"227","HAUS6"
"228","NOL6"
"229","None"
