"","gene","CpG_Associated","CpG_in_Gene","Enrichment_fromAverage","Suprise","Probe_ID","Chromosome_37","Coordinate_37","region","isoform","UCSC_CPG_ISLANDS_NAME","RELATION_TO_UCSC_CPG_ISLAND","corr_pval","db"
"269","ANTXRLP1",1,2,0.0797048251598113,12.5462918712256,"cg27470047","10",47599596,"intragenic","1","","",0.0793539080541843,-0.0558508004130249
"165","ASB17",1,2,0.0797048251598113,12.5462918712256,"cg17041296","1",76397847,"promoter","1","","",0.19742720607212,-0.054829239270766
"250","OR5D16",1,3,0.119557237739717,8.36419458081708,"cg25384000","11",55605161,"promoter","1","","",0.170766575876729,-0.0534643922678892
"57","FCRLA",2,9,0.358671713219151,5.57612972054472,"cg05033369","1",161676469,"promoter","1","","",0.130533395666966,-0.0729764295589633
"234","FCRLA",2,9,0.358671713219151,5.57612972054472,"cg24074594","1",161676581,"promoter","1","","",0.15680879455372,-0.0644634907370862
"194","DKFZp451B082",1,5,0.199262062899528,5.01851674849025,"cg20934191","6",163768213,"promoter","1","","",0.146820632035298,-0.05659047441835
"142","NOL6",1,5,0.199262062899528,5.01851674849025,"cg14292424","9",33474983,"promoter","1","","",0.100793783592152,-0.0573002898032854
"124","BMP5",1,6,0.239114475479434,4.18209729040854,"cg12535476","6",55691833,"intragenic","1","","",0.0927085090167953,-0.0658349635619789
"130","MIR135B",1,6,0.239114475479434,4.18209729040854,"cg13061767","1",205418410,"promoter","1","","",0.153152264934047,-0.0611472901932439
"52","SLC7A11-AS1",1,6,0.239114475479434,4.18209729040854,"cg04487857","4",139096540,"intragenic","1","","",0.146805784754134,-0.0505139002544955
"226","TMCO5A",1,6,0.239114475479434,4.18209729040854,"cg23254045","15",38226454,"promoter","1","","",0.0956309797466482,0.0590000122254236
"131","ANKRD30B",2,14,0.557933776118679,3.58465482035018,"cg13266435","18",14748220,"promoter","1","chr18:14747516-14748231","Island",0.0921568959462276,0.0507783785098397
"196","ANKRD30B",2,14,0.557933776118679,3.58465482035018,"cg21293934","18",14748230,"promoter","1","chr18:14747516-14748231","Island",0.15845122861883,0.0648461916332024
"73","AQP12A",1,7,0.27896688805934,3.58465482035018,"cg06356454","2",241631498,"promoter","1","","",0.109758318681927,-0.0553750358523739
"121","CNTN3",1,7,0.27896688805934,3.58465482035018,"cg11635155","3",74512963,"intragenic","1","","",0.103787216931301,-0.0748342839534115
"6","CTGF",2,14,0.557933776118679,3.58465482035018,"cg00516030","6",132273126,"promoter","1","chr6:132271356-132271658","S_Shore",0.12841488021743,-0.0543783061078954
"169","CTGF",2,14,0.557933776118679,3.58465482035018,"cg17359975","6",132273157,"promoter","1","chr6:132271356-132271658","S_Shore",0.109979074785249,-0.0503998447588018
"28","PLK5",2,14,0.557933776118679,3.58465482035018,"cg02872767","19",1525453,"intragenic","1","chr19:1525206-1525854","Island",0.0624565690960468,0.0818500708591187
"162","PLK5",2,14,0.557933776118679,3.58465482035018,"cg16889945","19",1523070,"promoter","1","chr19:1523705-1524565","N_Shore",0.182121460960771,-0.0519272395218042
"79","SLC22A7",1,7,0.27896688805934,3.58465482035018,"cg07037963","6",43265846,"promoter","1","","",0.081953838443829,-0.0504136323548905
"4","TEPP",2,14,0.557933776118679,3.58465482035018,"cg00491255","16",58019984,"intragenic","1","chr16:58019663-58020012","Island",0.143312519616874,-0.0539341532093146
"47","TEPP",2,14,0.557933776118679,3.58465482035018,"cg04370442","16",58019866,"intragenic","1","chr16:58019663-58020012","Island",0.179892957472329,-0.0857278108123888
