"","gene","CpG_Associated","CpG_in_Gene","Enrichment_fromAverage","Suprise","Probe_ID","Chromosome_37","Coordinate_37","region","isoform","UCSC_CPG_ISLANDS_NAME","RELATION_TO_UCSC_CPG_ISLAND","corr_pval","db"
"2","KRTAP2-4",1,3,0.119557237739717,8.36419458081708,"cg00275828","17",39222690,"promoter","1","","",0.18019726010466,0.06420829214193
"21","LDHAL6A",3,15,0.597786188698585,5.01851674849025,"cg06588556","11",18477299,"promoter","1","chr11:18477298-18477756","Island",0.188216015159161,-0.0902756053057988
"25","LDHAL6A",3,15,0.597786188698585,5.01851674849025,"cg06888460","11",18477303,"promoter","1","chr11:18477298-18477756","Island",0.19524878199789,-0.0682799704457119
"59","LDHAL6A",3,15,0.597786188698585,5.01851674849025,"cg23797887","11",18477753,"intragenic","1","chr11:18477298-18477756","Island",0.165775426227981,-0.0619453834142717
"30","TRIM21",1,5,0.199262062899528,5.01851674849025,"cg07244098","11",4415203,"promoter","1","","",0.102282567016082,0.0657512088484921
"35","PCDHB2",3,17,0.677491013858396,4.42810301337375,"cg11182018","5",140474062,"promoter","1","chr5:140475599-140476607","N_Shore",0.135412740904759,-0.0739287105454343
"60","PCDHB2",3,17,0.677491013858396,4.42810301337375,"cg23969338","5",140474005,"promoter","1","chr5:140475599-140476607","N_Shore",0.185746007918663,-0.0809415981883038
"62","PCDHB2",3,17,0.677491013858396,4.42810301337375,"cg24830494","5",140474986,"intragenic","1","chr5:140475599-140476607","N_Shore",0.122423001812475,-0.0567659145597123
"27","MIR4488",1,6,0.239114475479434,4.18209729040854,"cg06964190","11",61275247,"promoter","1","chr11:61275825-61277329","N_Shore",0.188426716615647,0.0595390350991856
"12","CES1",2,13,0.518081363538774,3.86039749883865,"cg03993839","16",55851398,"intragenic","1","","",0.103983797222656,-0.0796630655348407
"20","CES1",2,13,0.518081363538774,3.86039749883865,"cg06549901","16",55851316,"intragenic","1","","",0.0971748445111989,-0.0650968948016637
"54","ARGFX",1,7,0.27896688805934,3.58465482035018,"cg21910736","3",121285779,"promoter","1","","",0.15896652283754,0.058229938791784
"10","ALDH1B1",1,8,0.318819300639245,3.1365729678064,"cg03237166","9",38393112,"intragenic","1","chr9:38392509-38393187","Island",0.16807465416056,0.050807919729483
"26","LRRC10B",1,10,0.398524125799057,2.50925837424512,"cg06964190","11",61275247,"promoter","1","chr11:61275825-61277329","N_Shore",0.188426716615647,0.0595390350991856
"50","NOV",1,10,0.398524125799057,2.50925837424512,"cg19197744","8",120429518,"intragenic","1","chr8:120428398-120429178","S_Shore",0.1400689146717,0.0534910339319196
"37","TTC30A",1,11,0.438376538378962,2.28114397658648,"cg11237792","2",178484058,"promoter","1","chr2:178483233-178483783","S_Shore",0.177201461675728,-0.0567697890488087
"65","SS18L2",1,13,0.518081363538774,1.93019874941933,"cg25851277","3",42631429,"promoter","1","chr3:42632164-42632667","N_Shore",0.155200710628801,-0.0764113869139668
"6","NDUFA7",1,14,0.557933776118679,1.79232741017509,"cg01985482","19",8376374,"three_plus","1","chr19:8372597-8373302","S_Shelf",0.174903416109973,0.075083470689836
"70","CSRP2",1,15,0.597786188698585,1.67283891616342,"cg26994885","12",77260534,"intragenic","1","","",0.170018773423408,0.06628312607261
"33","DRD5",1,15,0.597786188698585,1.67283891616342,"cg09520393","4",9783059,"promoter","1","chr4:9783035-9784960","Island",0.166889952064447,-0.0509030916169258
"42","LOC728613",1,16,0.637638601278491,1.5682864839032,"cg14090208","5",1632226,"intragenic","1","chr5:1633901-1634224","N_Shore",0.198188659474505,0.0508027624995008
"61","PCDHB5",1,16,0.637638601278491,1.5682864839032,"cg24583624","5",140514824,"promoter","1","chr5:140516311-140517300","N_Shore",0.191350525989805,-0.0504053064902706
"49","TGM3",1,16,0.637638601278491,1.5682864839032,"cg19188359","20",2312099,"intragenic","1","chr20:2308778-2309042","S_Shelf",0.132937001671258,-0.0504264696458589
"48","PSORS1C3",1,17,0.677491013858396,1.47603433779125,"cg18688062","6",31146471,"promoter","1","chr6:31148369-31148577","N_Shore",0.0992945559721937,-0.0632663841928719
"32","RAB20",1,17,0.677491013858396,1.47603433779125,"cg07800658","13",111193758,"intragenic","1","","",0.178608841775415,-0.0664404350426198
"11","CARD10",1,18,0.717343426438302,1.39403243013618,"cg03338209","22",37908796,"intragenic","1","chr22:37911979-37912258","N_Shelf",0.144845502793824,0.0873469256932817
"8","NOM1",2,37,1.47453926545651,1.35635587797034,"cg02413092","7",156741538,"promoter","1","chr7:156741472-156741899","Island",0.177544582254701,0.0586590399787865
"47","NOM1",2,37,1.47453926545651,1.35635587797034,"cg17827650","7",156741514,"promoter","1","chr7:156741472-156741899","Island",0.147755316790683,0.0826791545145154
"16","N4BP1",1,20,0.797048251598113,1.25462918712256,"cg05079544","16",48644408,"promoter","1","chr16:48643589-48643860","S_Shore",0.186552299741134,0.053330558679234
"28","MMS19",1,22,0.876753076757925,1.14057198829324,"cg07052063","10",99255236,"intragenic","1","chr10:99257940-99259520","N_Shelf",0.176096245646158,-0.0840751231356349
"51","SGPP2",1,22,0.876753076757925,1.14057198829324,"cg19416417","2",223290324,"intragenic","1","chr2:223288922-223290013","S_Shore",0.190455589407872,-0.072000648921465
"22","TFAP2B",2,45,1.79335856609576,1.11522594410894,"cg06653004","6",50785325,"promoter","1","chr6:50787286-50788091","N_Shore",0.140216441989451,0.0526141047174945
"45","TFAP2B",2,45,1.79335856609576,1.11522594410894,"cg15638705","6",50785334,"promoter","1","chr6:50787286-50788091","N_Shore",0.177101007199969,0.0511994092859166
"5","IRX6",1,23,0.91660548933783,1.09098190184571,"cg01554410","16",55359698,"intragenic","1","chr16:55357521-55359040","S_Shore",0.15469498714966,0.0564405184726287
"63","MINK1",1,24,0.956457901917736,1.04552432260213,"cg25588480","17",4763240,"intragenic","1","","",0.166891293492131,0.0530979302042241
"52","N4BP2L1",1,24,0.956457901917736,1.04552432260213,"cg19511382","13",32983610,"intragenic","1","","",0.183385140710304,0.057927773897121
"69","MAP3K8",1,27,1.07601513965745,0.92935495342412,"cg26455711","10",30746830,"intragenic","1","","",0.187177960938949,-0.0657692954778408
