"","x"
"1","cg00174743"
"2","cg00275828"
"3","cg00364758"
"4","cg00788354"
"5","cg01498219"
"6","cg01553584"
"7","cg01554410"
"8","cg01567173"
"9","cg01620082"
"10","cg01985482"
"11","cg02186141"
"12","cg02413092"
"13","cg02670637"
"14","cg02733865"
"15","cg03138928"
"16","cg03235661"
"17","cg03237166"
"18","cg03338209"
"19","cg03671052"
"20","cg03993839"
"21","cg04065767"
"22","cg04166638"
"23","cg04850211"
"24","cg05079544"
"25","cg05127574"
"26","cg05355381"
"27","cg05854261"
"28","cg06133062"
"29","cg06231519"
"30","cg06549901"
"31","cg06588556"
"32","cg06653004"
"33","cg06665333"
"34","cg06885910"
"35","cg06888460"
"36","cg06951626"
"37","cg06964190"
"38","cg07052063"
"39","cg07173275"
"40","cg07244098"
"41","cg07706367"
"42","cg07800658"
"43","cg08410613"
"44","cg09520393"
"45","cg09798801"
"46","cg10034481"
"47","cg10278915"
"48","cg11056945"
"49","cg11182018"
"50","cg11229771"
"51","cg11237792"
"52","cg11634930"
"53","cg12194596"
"54","cg12478331"
"55","cg12887581"
"56","cg13055484"
"57","cg13375463"
"58","cg13425294"
"59","cg13444392"
"60","cg13830619"
"61","cg14082645"
"62","cg14090208"
"63","cg14131376"
"64","cg14216252"
"65","cg14335159"
"66","cg15169189"
"67","cg15638705"
"68","cg15724159"
"69","cg15769689"
"70","cg15896560"
"71","cg17827650"
"72","cg18688062"
"73","cg19188359"
"74","cg19197744"
"75","cg19416417"
"76","cg19511382"
"77","cg19905270"
"78","cg20826610"
"79","cg21290162"
"80","cg21676617"
"81","cg21889914"
"82","cg21910736"
"83","cg22695351"
"84","cg22879009"
"85","cg22891070"
"86","cg23483530"
"87","cg23797887"
"88","cg23969338"
"89","cg24106661"
"90","cg24583624"
"91","cg24775616"
"92","cg24830494"
"93","cg24970360"
"94","cg25588480"
"95","cg25851277"
"96","cg25882887"
"97","cg25938803"
"98","cg26053697"
"99","cg26455711"
"100","cg26603656"
"101","cg26994885"
"102","cg27149937"
