"","x"
"1","cg00119778"
"2","cg00172812"
"3","cg00206639"
"4","cg00220102"
"5","cg00231810"
"6","cg00245885"
"7","cg00339441"
"8","cg00364758"
"9","cg00388812"
"10","cg00490583"
"11","cg00530688"
"12","cg00639837"
"13","cg00647899"
"14","cg00686132"
"15","cg00737264"
"16","cg00759894"
"17","cg00807871"
"18","cg00935504"
"19","cg00945234"
"20","cg01022200"
"21","cg01275566"
"22","cg01277072"
"23","cg01284193"
"24","cg01295782"
"25","cg01324343"
"26","cg01341801"
"27","cg01386424"
"28","cg01414268"
"29","cg01438868"
"30","cg01453391"
"31","cg01466164"
"32","cg01546047"
"33","cg01554437"
"34","cg01555614"
"35","cg01557951"
"36","cg01566965"
"37","cg01567173"
"38","cg01594125"
"39","cg01629007"
"40","cg01663052"
"41","cg01760090"
"42","cg01765152"
"43","cg01776738"
"44","cg01809217"
"45","cg01840183"
"46","cg01881182"
"47","cg01891252"
"48","cg01933519"
"49","cg02059927"
"50","cg02105458"
"51","cg02305113"
"52","cg02337583"
"53","cg02389040"
"54","cg02394746"
"55","cg02395819"
"56","cg02430645"
"57","cg02472801"
"58","cg02490460"
"59","cg02509086"
"60","cg02544502"
"61","cg02544829"
"62","cg02610813"
"63","cg02701080"
"64","cg02715546"
"65","cg02754945"
"66","cg02768721"
"67","cg02872767"
"68","cg02893619"
"69","cg03152913"
"70","cg03188948"
"71","cg03240800"
"72","cg03256684"
"73","cg03457472"
"74","cg03522083"
"75","cg03542197"
"76","cg03594550"
"77","cg03753942"
"78","cg03860256"
"79","cg04065472"
"80","cg04099091"
"81","cg04143120"
"82","cg04219504"
"83","cg04247152"
"84","cg04316941"
"85","cg04343927"
"86","cg04424119"
"87","cg04455430"
"88","cg04487205"
"89","cg04560093"
"90","cg04561261"
"91","cg04672903"
"92","cg04721719"
"93","cg04833819"
"94","cg04855216"
"95","cg04904784"
"96","cg04938329"
"97","cg04969203"
"98","cg05041795"
"99","cg05044414"
"100","cg05068951"
"101","cg05076755"
"102","cg05205813"
"103","cg05251669"
"104","cg05483021"
"105","cg05545351"
"106","cg05648614"
"107","cg05741490"
"108","cg05753693"
"109","cg05754861"
"110","cg05784532"
"111","cg05812582"
"112","cg05868813"
"113","cg05883978"
"114","cg05972216"
"115","cg05975881"
"116","cg05982345"
"117","cg06035049"
"118","cg06041852"
"119","cg06064861"
"120","cg06067394"
"121","cg06071730"
"122","cg06091535"
"123","cg06098215"
"124","cg06108461"
"125","cg06133062"
"126","cg06139006"
"127","cg06231519"
"128","cg06241208"
"129","cg06307939"
"130","cg06320828"
"131","cg06368184"
"132","cg06376520"
"133","cg06394109"
"134","cg06444195"
"135","cg06451228"
"136","cg06588556"
"137","cg06640123"
"138","cg06734406"
"139","cg06741336"
"140","cg06755258"
"141","cg06765217"
"142","cg06851207"
"143","cg06888547"
"144","cg06901189"
"145","cg06943912"
"146","cg06952873"
"147","cg06982190"
"148","cg06983765"
